id_grafico,nombre_archivo
1,01_produccion_pesquera_captura_y_acuicola_por_pais_ultimo_anio.csv
2,02_complejos_exportadores_ultimo_anio.csv
3,03_composicion_exportaciones_pesca_producto.csv
4,04_desembarque_especie_ultimo_anio.csv
5,05_expo_pesquera_por_especie_ultimo_anio.csv
6,06_desembarques_puertos_totales.csv
7,07_acuicultura_produccion_por_pais_ultimo_anio.csv
8,08_consumo_pescado_mariscos_per_capita_pais_ultimo_anio.csv
9,09_composicion_consumo_carne_animal_por_tipo_y_pais_ultimo_anio.csv
11,11_total_desembarques.csv
12,12_capturas_grupos_anio.csv
13,13_captura_especie_anio.csv
14,14_evolucion_pib_pesquero.csv
15,15_participacion_complejo_pesquero_en_expo.csv
16,16_valor_cantidad_precio_exportacion_pesquero.csv
18,18_valor_precio_cantidad_expo_por_especie_anio.csv
20,20_captura_merluza_hubbsi_vs_cmp_anio.csv
21,21_acuicultura_produccion_arg_evo.csv
22,22_pbg_pesquero.csv
23,23_share_acuicola_total_pesca_por_pais_anio.csv
25,25_produccion_pesquera_captura_y_acuicola_mundial_anio.csv
26,26_produccion_pesquera_captura_y_acuicola_share_arg_evo.csv
27,27_vab_expo_share.csv
28,28_consumo_pescado_decil.csv
29,29_produccion_vs_consumo_pesca_arg_evo.csv
30,30_share_global_expo_pesca_pais_anio.csv
31,31_consumo_per_capita_pescado_anio_pais.csv
